RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
70198,28754,North Carolina,5529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186600,201400,214900,228300,227500,219300,219700,196600,2.15E+05,214100,217800,206400,196400,203100,211300,209900,202800,192700,192300,215400,220400,2.16E+05,192200,179400,183900,218400,219400,199200,1.87E+05,187900,224100,233600,233900,201500,
66733,21029,Maryland,5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34E+05,619600,697800,684300,689700,705700,687700,695500,687300,683900,645500,639700,620600,690700,677900,670300,608300,606600,606900,595100,665800,670400,747200,700100,7.62E+05,675800,674600,607900,650300,650100,688200,701500,713600,7.57E+05,755700,668900,665300,641100,758400,663200,697300,665900,689900,6.71E+05,6.88E+05,743900,777100,700300
93385,80433,Colorado,5531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250200,274700,301500,313400,295700,291900,290900,307700,327100,329500,319800,311800,312100,308600,322700,3.43E+05,343900,324100,3.22E+05,3.18E+05,332800,334500,353200,3.44E+05,351200,338400,350100,337100,338300,348400,351300,365900,348300,355500,395900,420400,423400,391900,392200,398100,406300,423800,422900,422700,404800,415100,396500,390900,384200,427200,4.25E+05,420500,401500,4.14E+05,439800,434600,436900,443500,445900,4.59E+05,472500,479100,468700,468300,471300,472400,458300,4.68E+05,501200,498100,497100,466600,448900,455300,480700,5.15E+05,515900,506500,511500,521800,529100,510800,497100
73097,34431,Florida,5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101500,103400,108200,106700,115100,117600,118900,109300,110700,115400,121800,116500,118300,118500,131700,136100,132400,122100,128800,133200,137200,109900,105700,99800,108200,114500,120700,1.24E+05,134300,
93601,80925,Colorado,5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198900,198700,197200,196200,206300,202800,2.16E+05,214400,216100,201900,204600,203200,2.07E+05,208700,217800,216600,224900,217900,223900,216200,219800,218300,215700,216500,223300,230300,229500,229800,228400,234800,230300,2.32E+05,221300,223900,228500,236500,238100,235800,235700,236800,239100,241200,242400,246200,2.47E+05,247800,246800,250700,2.45E+05,242400,244700,253700,259600,263100,264100,266700,267800,277200,276800,283200,274400,273800,276500,286900,300400,301200,3.02E+05,301600,300100,302800,302100,299900,287300,278200
84372,60119,Illinois,5534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225900,244300,232300,246400,236100,254700,255600,262900,275600,2.74E+05,283300,282500,279100,272800,228400,227600,229600,270900,275700,275500,274200,302600,304200,308400,289700,297900,276600,284600,274400,291700,281700,267900,273300,281300,301300,301300,300500,304900
62243,11769,New York,5535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411700,403100,413300,389200,395700,3.78E+05,382800,375100,383300,387700,408600,411400,4.30E+05,420700,424200,396700,379800,363800,378800,406300,436700,434600,429200,4.16E+05,446200,463900
76289,42262,Kentucky,5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78600,83300,84700,84300,8.60E+04,84900,85500,8.60E+04,93800,93700,94500,83100,94700,9.40E+04,104700,88200,9.20E+04,87200,94500,89300,92900,102600,106100,100800,97200,
84469,60416,Illinois,5537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164100,154200,153100,163600,158200,158800,139300,140800,138700,1.37E+05,141500,155600,162100,160900,186300,191100,1.93E+05,166500,157500,157300,151700,166200,169500,169100,164300,163200,161500,152800,150500,147500,133800,145500,155500,1.73E+05,169800,169200,1.60E+05,1.55E+05,164400,171200,160600,156900,159300
84799,61065,Illinois,5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,115100,118600,119300,1.31E+05,126500,126900,1.14E+05,112900,108900,114500,122100,126300,121900,117600,120100,124600,1.31E+05,131700,130300,122200,120700,113200,116200,116300,126200,1.28E+05,133700,130100,124400,126600,137500,147100,155600,156100,1.57E+05,146100,146200,149800,147400,145900,140200,149300,147800,152300,,
