GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US2603000,2603000,"Ann Arbor city, Michigan",8567,1841,3851,923,60,105,127,154,63,109,401,318,510,250,452,432,522,443,146,120,280,216,173,209,469,340,392,253,51,88,205,199,4716,1257,398,369,145,172,198,190,0,170,765,477,970,490,117,196,303,335,265,213,571,286,469,305,285,201,198,145,32,51
1600000US2622000,2622000,"Detroit city, Michigan",532057,6579,245257,4143,19250,1765,16337,2052,18959,1998,10566,858,6795,714,17886,1413,22572,1312,14757,1133,26804,1139,29938,1343,30641,1154,19387,775,8458,955,2907,745,286800,4564,19656,1192,18073,1682,18071,1922,11291,916,6173,803,21315,1088,24643,1404,15770,1358,32353,1501,36319,1313,37260,1236,26032,950,13023,1148,6821,1073
1600000US2627440,2627440,"Farmington Hills city, Michigan",14166,2629,5508,1292,175,214,196,230,390,312,282,240,81,134,381,264,255,244,206,245,833,588,1327,650,644,364,602,321,136,136,0,170,8658,1755,0,170,256,362,595,435,230,231,80,105,115,140,710,598,319,300,1706,750,1395,594,1291,490,1752,695,136,153,73,95
1600000US2629000,2629000,"Flint city, Michigan",51514,3364,25011,2044,1992,550,1184,542,2054,866,1489,516,746,413,2887,516,1333,712,1308,401,2700,453,2872,572,3290,503,2057,393,866,250,233,190,26503,2074,2079,597,1774,791,1657,694,1257,566,704,486,2046,512,2507,467,1077,422,3020,694,2846,633,3674,558,2184,388,1274,370,404,298
1600000US2634000,2634000,"Grand Rapids city, Michigan",39083,4017,20058,2182,1026,552,1968,718,1346,618,1333,367,787,312,2287,590,1375,799,1338,410,2355,515,2219,604,2303,425,1196,311,449,151,76,98,19025,2349,1270,513,1656,717,1182,580,1121,349,690,424,1589,531,1347,667,704,414,2707,785,1995,784,2549,495,1089,404,799,359,327,343
1600000US2642160,2642160,"Kalamazoo city, Michigan",16826,2335,8383,1644,833,469,608,414,686,424,319,259,727,504,1301,652,433,303,491,346,803,398,724,299,631,393,575,296,252,265,0,170,8443,1345,750,353,312,270,470,303,869,460,887,411,1211,688,448,382,221,170,919,320,504,323,683,414,523,363,373,392,273,238
1600000US2646000,2646000,"Lansing city, Michigan",26706,4047,12686,2123,1169,565,1028,486,1245,511,121,159,520,223,1213,695,1531,365,1065,211,1505,549,922,307,1406,259,832,278,49,84,80,148,14020,2281,1614,534,654,435,855,646,879,586,682,572,1645,650,1101,334,708,308,1524,395,1760,522,1394,304,933,326,123,147,148,181
1600000US2674900,2674900,"Southfield city, Michigan",51991,2909,23788,1876,604,456,1973,865,1942,1135,1021,447,167,192,1874,751,3201,1277,1178,542,2338,699,2830,847,3145,738,2512,508,582,268,421,257,28203,2334,1274,812,567,350,1792,941,1088,628,565,348,1676,659,1257,712,1139,587,3493,837,4710,882,4200,748,4088,759,1353,487,1001,426
1600000US2684000,2684000,"Warren city, Michigan",27976,3761,12908,2082,1506,613,1451,553,1454,525,748,407,215,226,921,538,1025,662,1263,568,1435,613,1196,459,910,459,602,404,109,183,73,124,15068,2345,916,410,1158,631,917,476,975,454,445,270,1549,600,1424,544,1153,430,2677,625,1626,641,1692,674,254,184,282,248,0,170
1600000US2706616,2706616,"Bloomington city, Minnesota",11314,4212,6469,2401,713,767,179,283,704,574,608,389,150,141,1111,909,863,838,393,337,800,511,459,318,410,347,41,66,0,153,38,64,4845,1983,142,163,303,345,721,490,156,146,452,360,436,407,718,742,0,153,580,376,676,415,508,597,44,72,109,138,0,153
