GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US4807000,4807000,"Beaumont city, Texas",37310,4092,17996,2098,994,468,1294,692,989,423,206,232,713,310,569,371,1471,553,1047,623,2242,577,2032,601,3103,646,1915,547,1000,396,421,240,19314,2452,1098,903,1072,568,587,354,245,267,451,291,1198,500,1252,601,1000,541,2619,674,1573,524,3456,825,2406,614,1630,496,727,348
1600000US4810768,4810768,"Brownsville city, Texas",9677,1915,5183,1136,206,272,169,194,301,256,362,252,158,253,208,158,85,110,629,599,462,318,414,223,632,349,552,322,660,332,345,344,4494,1070,747,451,203,210,172,217,0,225,95,130,92,151,242,242,127,152,599,336,235,198,309,207,764,391,345,235,564,329
1600000US4810912,4810912,"Bryan city, Texas",33284,3111,16007,1874,811,517,133,153,1048,580,709,334,764,472,2200,867,967,504,1145,613,2182,610,1543,466,1710,632,1764,493,720,358,311,248,17277,2092,636,525,942,567,170,211,220,203,481,489,2828,1282,1876,812,961,555,2064,612,1828,580,1463,493,1908,488,1160,454,740,312
1600000US4813024,4813024,"Carrollton city, Texas",51385,4760,24964,2674,1615,581,648,329,615,472,731,378,256,227,1855,758,1833,757,2122,832,3321,892,4305,1037,4140,914,2238,593,897,333,388,318,26421,2706,738,364,1514,758,1518,648,858,485,404,374,1333,489,1328,647,1379,537,3661,870,4330,1106,4808,924,3062,722,882,354,606,401
1600000US4813552,4813552,"Cedar Park city, Texas",46649,4200,24214,2593,1970,726,1941,705,1972,740,1245,589,374,307,1171,1159,1488,776,2652,808,3641,1083,3338,861,2176,652,1534,645,403,246,309,299,22435,2688,1234,563,1281,597,1746,693,1079,636,533,392,928,564,1650,657,2158,600,3453,908,3067,785,2847,981,1511,605,713,402,235,161
1600000US4815976,4815976,"College Station city, Texas",72810,2689,37672,1548,2037,524,1488,597,1379,481,507,240,3378,504,12532,908,3857,793,2466,657,2925,596,2267,505,2299,615,1054,436,1082,316,401,279,35138,2134,1916,535,1366,442,1406,473,696,269,3776,516,9336,1401,2875,783,2181,698,2722,609,2503,535,3049,660,2041,514,1031,495,240,182
1600000US4816432,4816432,"Conroe city, Texas",43256,4426,20242,2500,1794,850,898,509,885,626,273,261,281,319,1122,826,2018,748,1568,655,2580,951,2859,899,1845,755,2773,838,1001,472,345,337,23014,2675,1438,670,1274,858,939,649,293,237,247,307,1400,847,2563,908,1176,620,2130,972,3004,847,3462,1134,2829,1049,1518,742,741,434
1600000US4817000,4817000,"Corpus Christi city, Texas",96121,2455,47643,1618,2244,603,2389,591,2212,593,1353,189,1157,616,2728,633,3316,667,3511,175,5570,343,6323,328,7439,695,5919,251,2675,555,807,417,48478,1139,2471,96,2036,630,2045,654,1494,148,996,225,2949,225,3115,598,3315,192,5322,282,5814,515,7737,494,5886,314,3277,566,2021,534
1600000US4819000,4819000,"Dallas city, Texas",381559,10124,185177,5681,10556,1136,7782,1210,7050,1201,4138,841,2576,736,11203,1491,21260,1644,18170,1777,24573,1593,22198,1885,25966,1865,17806,1670,9213,1244,2686,706,196382,6255,10195,1192,8506,1166,7767,1133,3685,652,2668,632,11594,1382,22590,1552,18041,1508,24125,1512,19789,2137,27216,1965,20519,1699,12192,1381,7495,1230
1600000US4819972,4819972,"Denton city, Texas",78139,4941,38241,3144,1792,651,1522,679,1660,697,1426,591,1265,592,4941,1405,4716,1136,2815,806,3833,794,3962,877,4253,948,3939,887,1736,619,381,191,39898,3042,1657,862,1149,522,833,408,452,283,2907,897,4701,1017,3720,929,2711,772,4418,1045,4200,1242,5356,1043,4264,984,2229,809,1301,646
1600000US4824000,4824000,"El Paso city, Texas",86291,2483,46307,1540,2628,348,2037,655,2249,572,1260,114,1215,769,3415,861,4720,273,3312,488,5583,411,5300,474,6106,266,5152,139,2207,463,1123,460,39984,1289,2558,372,2139,676,2058,663,1024,265,292,246,2989,333,3333,215,2611,372,4296,355,4357,315,5416,307,4356,264,2492,562,2063,547
1600000US4826232,4826232,"Flower Mound town, Texas",53847,3487,26449,2109,1161,496,2193,818,1943,635,1237,386,1043,510,1574,1171,281,239,1344,576,3319,720,4915,896,4107,852,2460,652,762,429,110,128,27398,1982,1477,580,1837,506,2487,813,1191,398,687,503,1299,458,447,392,1478,582,3356,699,6062,857,3803,799,2023,497,1093,470,158,187
1600000US4827000,4827000,"Fort Worth city, Texas",345544,10640,165717,6099,9572,1542,9406,2098,8521,1738,4521,1131,3517,848,9641,1794,13226,1581,15415,1934,23469,2095,23431,2423,22558,2017,14236,1768,6390,1217,1814,606,179827,6480,11351,1631,8635,1530,8030,1651,5165,1242,3935,1190,10127,1358,15228,2071,15348,1660,24655,1909,21916,2116,24204,1877,17309,1566,7906,1409,6018,1300
1600000US4827684,4827684,"Frisco city, Texas",96081,6184,48083,3638,2357,765,3499,893,5486,1264,2653,813,1169,498,2102,810,1856,769,1990,679,7115,901,9750,1259,5457,1007,2794,809,1735,544,120,156,47998,3444,2078,727,3617,919,5305,1172,3039,630,531,249,2141,804,2478,683,2219,735,8069,1089,8529,1442,4192,957,4340,832,1106,443,354,284
