"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,27378,"Taylorsville","UT","Salt Lake City","Salt Lake County",811,317200,0.00284539993676889,0.0219072164948454,0.121640735502122,0.101521214181949,0.0424029940939139,"2019-02","2019-Q1",317200,0,"2019-02"
2019-02-28,17172,"Bristol","CT","Hartford-West Hartford-East Hartford","Hartford County",812,193200,0.00259470679813181,0.00782472613458529,0.0046801872074883,0.016181199665392,-0.00527826091391115,"2007-01","2007-Q1",223900,-0.13711478338544,"2004-09"
2019-02-28,6750,"Richmond","KY","Richmond-Berea","Madison County",813,171700,0.00233508464681845,0.00350672121566335,0.0387174833635814,0.0430103860122573,0.0188154988128872,"2019-02","2019-Q1",171700,0,"2019-02"
2019-02-28,53487,"National City","CA","San Diego-Carlsbad","San Diego County",814,429900,0.00139762403913347,0.00514379237783493,0.0379043940125543,0.0870633132864389,0.0587949866583288,"2006-07","2006-Q3",435400,-0.0126320624712908,"2006-04"
2019-02-28,25534,"Lebanon","TN","Nashville-Davidson--Murfreesboro--Franklin","Wilson County",815,247600,0.00446247464503043,0.011437908496732,0.0649462365591398,0.0919380268212968,0.0446966875078165,"2019-02","2019-Q1",247600,0,"2019-02"
2019-02-28,53359,"Missoula","MT","Missoula","Missoula County",816,304200,0.00795228628230616,0.0245874031660492,0.114285714285714,0.0603883379706533,0.0279536375397762,"2019-02","2019-Q1",304200,0,"2019-02"
2019-02-28,37015,"Azusa","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",817,469700,0.00127904497974845,0.00664380625803686,0.0547945205479452,0.0647671801595016,0.039742243272364,"2019-02","2019-Q1",469700,0,"2019-02"
2019-02-28,31778,"Gloucester","NJ","Philadelphia-Camden-Wilmington","Camden County",818,187500,0.000533617929562433,0.00321027287319422,0.0364842454394693,0.0209933501618194,-0.010891442706657,"2007-02","2007-Q1",239600,-0.217445742904841,"2004-10"
2019-02-28,45398,"Gardena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",819,555700,0.00270660411403825,0.0133114514952589,0.0325157933853586,0.0827045406453186,0.0428147980178222,"2019-02","2019-Q1",555700,0,"2019-02"
2019-02-28,21472,"Annandale","VA","Washington-Arlington-Alexandria","Fairfax County",820,548400,-0.000546746856205577,0.0093870789618995,0.0331574981160512,0.0312915017019646,0.0272543252394075,"2006-01","2006-Q1",565600,-0.0304101838755304,"2005-08"
2019-02-28,20514,"Skokie","IL","Chicago-Naperville-Elgin","Cook County",821,297600,-0.000671591672263264,-0.00268096514745308,-0.000335908632851864,0.0409426242162789,0.00479475433734522,"2006-08","2006-Q3",393100,-0.242940727550242,"2003-12"
2019-02-28,7403,"The Villages","FL","The Villages","Sumter County",822,275700,0.00181686046511628,0.00989010989010989,0.0748538011695906,0.0400048679746361,0.0265724613129659,"2019-02","2019-Q1",275700,0,"2019-02"
2019-02-28,124912,"Kendale Lakes","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",823,253000,0.00676482292081178,0.0226354082457559,0.0554860241969128,0.113648163395193,0.0408666216320395,"2007-02","2007-Q1",260000,-0.0269230769230769,"2006-08"
