GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US3254600,3254600,"Paradise CDP, Nevada",46118,7218,22619,3780,1734,1028,1468,889,1607,845,1041,550,731,580,1725,723,2783,1045,2512,782,3631,1075,2615,880,1510,884,1160,642,102,170,0,211,23499,4168,1297,640,1495,604,2004,700,973,489,522,425,2624,992,2185,894,1528,598,3911,1326,3206,1006,2947,1094,573,331,76,91,158,254
1600000US3260600,3260600,"Reno city, Nevada",21520,4756,10379,2695,1832,962,978,712,925,580,534,505,349,351,645,431,996,523,672,424,1754,956,568,356,815,497,259,356,52,85,0,211,11141,2550,432,388,1069,672,1105,730,688,405,141,155,782,439,1037,578,1436,697,1587,743,1626,729,852,527,347,263,0,211,39,69
1600000US3268585,3268585,"Spring Valley CDP, Nevada",23580,6775,11487,3653,1151,766,595,490,782,559,553,475,444,470,927,515,1320,629,769,668,2299,1134,1361,673,713,471,270,235,0,211,303,485,12093,3663,1384,853,1006,866,890,673,122,199,189,250,994,587,1314,682,1108,762,1944,867,1820,862,658,423,664,440,0,211,0,211
1600000US3271400,3271400,"Sunrise Manor CDP, Nevada",51422,8151,25465,4053,1840,806,2543,878,2581,1131,1606,721,1218,654,2571,989,1323,638,2703,913,4570,1217,2704,956,1263,482,183,188,360,414,0,211,25957,4708,1825,823,2347,932,2428,1209,1391,528,647,347,2100,746,2539,948,1548,645,4785,1371,2972,905,1634,678,998,693,570,404,173,281
1600000US3410000,3410000,"Camden city, New Jersey",13093,3799,6132,2458,694,808,518,409,1241,847,397,446,0,206,119,197,185,224,386,371,1397,1086,425,295,456,394,266,257,48,79,0,206,6961,2035,663,540,914,605,616,577,403,282,380,308,0,206,596,423,397,460,773,513,1150,542,390,326,388,310,261,213,30,51
1600000US3413690,3413690,"Clifton city, New Jersey",15116,3928,7769,2275,358,342,450,447,776,545,263,255,577,435,437,402,300,282,328,409,1878,895,1413,714,496,375,493,423,0,206,0,206,7347,2162,404,451,470,408,324,308,124,139,214,260,937,633,598,596,589,520,1681,860,690,438,854,639,345,355,117,202,0,206
1600000US3421000,3421000,"Elizabeth city, New Jersey",46965,5686,24677,3421,2511,772,1887,718,2044,702,1560,643,747,444,2766,1039,1339,640,1927,684,3457,1251,3536,1068,2096,795,504,403,303,301,0,206,22288,3124,2483,893,1560,817,1546,622,1514,698,1016,674,1017,656,1641,609,1992,651,4000,842,2720,779,1088,497,1167,536,466,451,78,146
1600000US3436000,3436000,"Jersey City city, New Jersey",31424,5900,15000,3225,1196,972,740,541,1399,786,805,414,753,864,762,552,1484,799,1629,917,1664,835,2114,887,899,663,680,503,614,436,261,317,16424,3557,1041,735,1814,1334,1248,782,773,621,138,212,1300,900,1526,787,1508,736,1682,744,2539,811,1691,632,855,482,309,254,0,206
1600000US3451000,3451000,"Newark city, New Jersey",51006,6573,26141,3977,3154,1214,1875,704,2417,1051,1008,552,559,333,1383,661,1937,858,2561,766,4590,1411,3470,1081,1494,651,1161,491,231,337,301,352,24865,3608,2307,945,2492,1002,2378,962,852,491,516,275,873,512,2395,830,2861,843,3190,1085,3148,863,1592,604,1111,553,866,519,284,287
1600000US3456550,3456550,"Passaic city, New Jersey",7701,2143,4119,1164,341,292,320,255,187,147,178,238,166,193,248,203,999,625,173,214,263,240,812,439,432,296,0,206,0,206,0,206,3582,1294,531,420,295,219,377,293,250,197,80,132,196,251,181,180,592,387,222,182,506,318,238,213,114,186,0,206,0,206
