GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US5335275,5335275,"Kennewick city, Washington",64682,4002,32465,2569,2852,800,2468,868,1688,801,924,524,544,295,2821,993,2415,772,2404,804,4212,1011,2899,922,4242,831,2932,637,1205,423,859,513,32217,2501,2501,743,2301,814,1455,643,1683,639,492,349,2367,873,2171,580,3167,614,3065,894,3503,846,2713,613,3484,762,1788,626,1527,686
1600000US5335415,5335415,"Kent city, Washington",65623,6968,35122,3986,2496,956,1380,695,1500,793,1869,934,1006,584,3224,1231,2293,829,3184,991,4050,1233,4463,976,4979,1016,2276,728,1449,509,953,514,30501,3685,1778,836,1755,755,1169,692,728,376,699,351,1874,927,2159,876,2111,828,4166,1156,3043,893,5015,1051,3221,857,1434,608,1349,623
1600000US5335940,5335940,"Kirkland city, Washington",66007,2930,33008,2264,1715,669,2382,874,2063,669,791,349,546,446,1602,814,2803,688,3171,962,5139,1046,4942,859,4791,938,2013,565,705,369,345,269,32999,1852,2503,860,1736,544,965,385,1129,485,774,385,1593,483,1783,719,2556,749,5898,921,3881,836,4852,933,3146,745,1590,530,593,509
1600000US5343955,5343955,"Marysville city, Washington",55564,3803,27952,2548,1242,507,1377,635,2485,1020,996,535,1092,631,1755,884,975,599,1339,553,4337,1142,5364,1233,3290,873,2135,656,1363,611,202,149,27612,2188,1628,685,2344,840,1967,924,1377,708,473,461,966,576,1308,529,2074,602,3647,1009,3876,1120,3204,930,2107,626,1544,649,1097,522
1600000US5353545,5353545,"Pasco city, Washington",45093,4830,21066,2508,2244,721,1210,550,2203,1140,1171,686,616,367,1588,816,1374,587,1936,634,2491,733,1861,586,2084,526,2005,366,231,214,52,90,24027,3002,2667,845,2361,789,1310,755,1098,705,537,528,1758,701,2353,443,1128,445,3914,651,2427,695,2043,452,1535,255,418,250,478,253
1600000US5357745,5357745,"Renton city, Washington",54250,4498,26742,2834,1219,572,989,429,1342,829,384,305,237,172,2494,1293,2794,946,3275,1172,4450,917,2960,791,3504,904,2224,778,532,273,338,247,27508,2571,1579,739,1411,502,1717,773,890,497,555,494,1155,453,3177,1024,1733,753,3995,1024,3153,942,4250,964,2146,710,1359,511,388,233
1600000US5363000,5363000,"Seattle city, Washington",487046,9219,242369,5271,10436,1498,9090,1439,8755,1404,3825,790,4434,829,13231,1838,29963,2595,28357,2073,40874,2210,34057,2459,28846,2324,20950,2003,6738,1014,2813,975,244677,6369,12057,1641,9899,1753,7461,1405,4421,1085,4855,1039,17125,1935,30437,2556,26026,2165,34422,2310,31836,2427,29084,2308,21942,1874,8630,1349,6482,1267
1600000US5367000,5367000,"Spokane city, Washington",184360,3039,91464,2762,6034,1020,4272,1274,6177,1400,2202,774,2823,686,6092,1218,9185,1480,7958,1165,10189,1063,10903,1193,11668,1267,8742,1218,3942,685,1277,534,92896,2544,5125,850,4071,1120,4440,855,3127,696,1847,535,5976,1124,8038,1160,7793,1140,11015,1192,10576,1218,13238,1502,10320,1005,4661,911,2669,669
1600000US5367167,5367167,"Spokane Valley city, Washington",87699,2501,42912,2159,2018,683,2366,966,2651,885,1544,535,858,465,2683,765,3576,929,2775,837,5646,1049,6166,1238,5433,995,4041,899,1768,750,1387,615,44787,2284,2525,913,2073,833,1979,647,1874,675,860,382,1669,630,4412,1127,2876,807,5170,917,6610,1209,5677,1052,4579,859,2697,775,1786,789
1600000US5370000,5370000,"Tacoma city, Washington",140604,5284,69207,3390,3766,1096,4026,925,3430,1011,1815,516,1561,556,4557,1427,5450,1155,7414,1405,9936,1322,9713,1339,8337,1108,5866,1004,2564,608,772,354,71397,3542,4639,1092,3370,798,3228,824,1927,687,1921,574,4307,956,5791,1020,6727,1028,9854,1439,9378,1303,8569,1146,6654,916,3137,716,1895,706
1600000US5374060,5374060,"Vancouver city, Washington",141782,3260,70559,2566,5354,924,3690,870,4454,1211,3013,946,1433,461,4113,912,6960,1107,4771,871,8347,1252,8423,1290,8701,1196,6815,779,2784,626,1701,520,71223,2280,3117,729,4204,855,4259,1089,1904,588,1526,508,4038,832,6351,814,4934,824,8291,1082,9391,1129,9016,980,8269,1035,3450,631,2473,623
